jd_sentence_text	jd_sent_manual_label_NEW
"We’re looking for a high-energy, passionate individual to be part of our QA team."	Position_Role
You will take pride and ownership of key parts of the software and certify its quality and correctness before delivery to the customer.	Responsibility
"Bachelor’s degree in Engineering, Math, Computer Science or similar"	Education
Experience working in a hands-on quality assurance role over several years	Experience
"Experience in writing test cases and scenarios that cover both sanity and in-depth testing for functional, system, integration and end to end aspects"	Experience
Experience in using JMeter tool for API performance testing is desired	Experience
Certification as Salesforce Administrator	Certification
Experience with Customer Relationship Management and/or	Experience
"As the leading medical society representing doctors who care for people with cancer, the American Society of Clinical Oncology (ASCO) is committed to conquering cancer through research, education, and promotion of the highest quality patient care."	About_Company
We are looking for a smart and talented Full Stack Software Engineer to join us in our fight against cancer.	Position_Role
Bachelor’s or Master’s degree in Computer Science or equivalent educational background	Education
Experience with Agile development methodologies and tools like git and JIRA	Experience
Experience with clinical informatics is a plus	Experience
Fidelity 401(k) Retirement Plan:	Benefits
Health insurance through CareFirst BlueCross BlueShield and Dental Insurance through Principal Dental :	Benefits
Short and Long Term Disability Insurance and Life Insurance	Benefits
ASCO is proud to be an Equal Opportunity Employer (EOE)	EOE
"Allstate is looking for a Full-Stack Software Engineer Expert to join a dynamic, global team and serve as anchor/technical lead."	Position_Role
Bachelor’s or Masters/MBA degree in a field such as Computer Science or Data Architecture	Education
"Experience developing software in different programming languages, and demonstrated ability to quickly learn new languages"	Experience
Experience and knowledge in developing REST APIs including tooling for documentation	Experience
"Experience and knowledge in web and API security including authentication, authorization, OAuth, OWASP, OpenID, and SAML"	Experience
"Experience in backend development design, implementation, and optimization"	Experience
"Experience developing continuous integration, continuous delivery and continuous deployment pipelines for distributed apps"	Experience
Experience working in an agile environment	Experience
Experience and familiarity with open source software	Experience
"Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k)."	Benefits
Allstate generally does not sponsor individuals for employment-based visas for this position.	Authorization_Clearance
"It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era."	EOE
A BS in Computer Science or a related degree	Education
"We build experiences to allow advertisers to sponsor their content across Goodreads surfaces, including custom marketing experiences for large customers."	About_Company
"We also support our Authors and author programs by offering sponsored giveaways products, Author Q&A and sharing Kindle Notes and Highlights."	Benefits
"Experience with NoSQL AWS data stores like DynamoDB, CloudSearch or their open source equivalents"	Experience
Experience with React or other modern javascript frameworks.	Experience
"Experience with data pipelines (Kafka, AWS Kinesis, AWS Data Pipeline)"	Experience
"Experience building web applications, widgets, or interactive experiences."	Experience
Amazon is an Equal Opportunity-Affirmative Action Employer –	EOE
Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation	EOE
Minimum Clearance Required	Authorization_Clearance
ISYS Technologies delivers emerging technology solutions through our diverse and talented employees who are dedicated to our customers’ success.	About_Company
We are a reputable award-winning WOSB providing Engineering and Enterprise Information Technology (EIT) services to the Federal government.	About_Company
ISYS Technologies is seeking a Sr. Software Engineer.	Position_Role
Clearance:	Authorization_Clearance
Experience Requirements:	Experience
Experience with the following:	Experience
DoD Cybersecurity certification	Certification
US Citizenship is required.	Authorization_Clearance
ISYS Technologies is an Equal Opportunity/Affirmative Action Employer.	EOE
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected Veteran status, or disability status."	EOE
"Take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips."	Benefits
"Experience with usability analysis, testing, and client-facing engagements, including design discussions and product demonstrations"	Experience
"Experience with switching between different languages and learning new ones, as necessary"	Experience
TS/SCI clearance	Authorization_Clearance
Experience with building solutions that directly enable the mission of US military or US intelligence community	Experience
"Experience in working with various intelligence disciplines, including GEOINT, HUMINT, MASINT, OSINT, and SIGINT and the data and tools associated with these disciplines"	Experience
Experience with Agile or Kanban software development methods	Experience
"Experience with multi-threaded code, 3D drawing algorithms, and multiplayer networking"	Experience
"Experience with optimizing code for memory, CPU, and file constraints"	Experience
"Experience with HTML and CSS, including CSS frameworks, such as Material Design, Bootstrap, or Foundation"	Experience
"Experience with TypeScript, ES6/ECMA2015, or Babel"	Experience
Experience with ArcGIS Server or Portal and interoperability with custom Web applications	Experience
"Experience with a task runner or build system, including Gulp, Grunt, Webpack, or Rollup"	Experience
"Experience with testing frameworks, including Protractor, Jasmine, Karma, or Selenium"	Experience
"Experience with at least one JavaScript package manager, including npm, bower, or yarn"	Experience
"Experience with using JavaScript mapping libraries, including ArcGIS, Leaflet, or Mapbox"	Experience
Experience with developing back end	Experience
"Experience with network security, including access and authorization for PKI and chain trusting"	Experience
BA or BS degree	Education
DoD 8570 Compliant Security+ or CISSP Certification	Certification
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.	Authorization_Clearance
"We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change."	EOE
We are Relativity.	About_Company
"The U.S. Department of Justice, 198 of top 200 U.S. law firms, and more than 70 Fortune 100 companies are among our customers who trust Relativity during litigation, internal investigations, and compliance projects."	About_Company
Knowledge of the Quality Assurance discipline and testing techniques	Skill_Knowledge
"BA/BS in Computer Science or related disciplines, or equivalent"	Education
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law."	EOE
"At our core, we are passionate about helping people better their lives through demonstration of skills."	About_Company
"BrightLink is looking for a Business Analyst to be the vital link between our software capacity and business objectives by supporting our team and ensuring the successful completion of a variety of software tasks, such as development, testing, and deployment."	Position_Role
Experience:	Experience
"Bachelor degree in a Business, Information Systems, Computer Science, or other STEM discipline or equivalent technical work experience required"	Or_Edu_Exp
"Experience with requirements elicitation, requirements documentation, and requirements management"	Experience
Experience with agile methodology and practices	Experience
Business Analyst Certification preferred	Certification
"Paid Vacation, Sick Days & PTO"	Benefits
Health and Vision Insurance	Benefits
401(k) with matching	Benefits
We are the first company in the United States offering such a revolutionary and flexible program that puts consumers first.	About_Company
"Closing our Series A, we are poised to expand to new markets, channels and programs!"	About_Company
"Experience with build tools (webpack, yarn/npm, node) and familiarity with the Node ecosystem"	Experience
Experience with Service Workers and Progressive Web Apps	Experience
Experience with containerization and cloud technologies	Experience
Full benefits and generous PTO	Benefits
GE is looking for a Quality Assurance Engineering Manager to lead a team of QA engineers to develop our Universal Viewer flagship product for radiology and cardiology imaging.	Position_Role
"Bachelor’s Degree in Computer Science or in “STEM” Majors (Science, Technology, Engineering, or Math)"	Education
OR Master’s degree with 6 years of experience	Or_Edu_Exp
Must be willing to travel up to 15%	Location_Travel
"Experience with web services (e.g. REST, SOAP, WSDL), microservices, and cloud applications"	Experience
"Experience with SQL Server and Sybase, SQL programming, and stored procedure development"	Experience
"Experience with Behavior Driven Development or Acceptance Driven Testing with tools such as JUnit, NUnit, JBehave, Cucumber, and/or SpecFlow"	Experience
"Experience practicing Agile methodologies, including Scrum"	Experience
Experienced in providing oversight and coaching - shows ability to effectively delegate work	Experience
"Experienced in working with global teams, including time-zone flexibility"	Experience
"GE people are global, diverse and dedicated, operating with the highest integrity and passion to fulfill GE’s mission and deliver for our customers."	About_Company
GE is an Equal Opportunity Employer .	EOE
"Employment decisions are made without regard to race, color, religion, national or ethnic origin, gender (including pregnancy), sexual orientation, gender identity or expression, age, disability, veteran status or any other characteristics protected by law."	EOE
Additional Eligibility Qualifications: GE will only employ those who are legally authorized to work in the United States for this opening.	Authorization_Clearance
"We are building a globally deployed digital platform for our customers using some best-in-class, open-source frameworks such as Spring Boot/Cloud, NodeJs, ReactJs and leveraging Netflix OSS features such as Archaius, Hystrix, Zuul and others."	About_Company
"Bachelor's degree in Computer Science, Engineering, or related discipline"	Education
"Experience developing microservices with Spring Boot, Spring Cloud tech stack"	Experience
"Experience developing RESTful Web Services, Web APIs, and cloud native micro-services."	Experience
Experience to any Machine learning based development	Experience
"Experience with any CI/CD tooling using Spinnaker, CircleCI, Jenkins etc."	Experience
Experience with AWS based development using Serverless / FaaS applications	Experience
Experience working in a DevOps environment with continuous delivery	Experience
"Experience using docker & related orchestration tools to build, ship and run applications."	Experience
Primary Location: United States of America-Texas-DALLAS-Irving-Information Services	Location_Travel
Work Locations:	Location_Travel
Travel:	Location_Travel
GDIT's DOJ/OJP team is looking for an experienced Identity and Access Management (IdAM) Systems Engineer to contribute to the deployment and maintenance of an IdAM solution to serve as a comprehensive Identity as a Service (IDaaS) platform for our federal government client.	Position_Role
This contract requires US citizenship	Authorization_Clearance
Must be able to obtain and maintain a DOJ/OJP Public Trust clearance	Authorization_Clearance
expertise in Agile development approaches including Scrum and Kanban	Skill_Knowledge
(AWS certifications highly appreciated)	Certification
Bachelor’s degree in Computer Science or related field	Education
GDIT is an Equal Opportunity/Affirmative Action employer.	EOE
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class."	EOE
"BS in Computer Science, Computer or Electrical Engineering, Mathematics, or a related field"	Education
We are turning access to Amazon scale Big Data into machine learning models to make automated financial assessments.	About_Company
"We are looking for a software engineer with a passion for high coding standards, design patterns, and quality software delivery as we expand the program into new countries and launch additional credit products."	Position_Role
Experience mentoring and developing the technical skills of Software Engineers	Experience
Experience with service oriented technology	Experience
Experience working with and building scalable systems	Experience
Experience developing in a Linux environment	Experience
"MS in Computer Science, Computer/Electrical Engineering, Mathematics, or a related field"	Education
Experience in building large scale distributed systems	Experience
Experience in scaling and performance tuning of large systems	Experience
Experience with AWS and other cloud technologies	Experience
Experience developing software in a Unix/Linux environment	Experience
"Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs."	Experience
"Experience with Agile engineering practices (unit testing, TDD, BDD/ATDD, user stories)."	Experience
Experience and understanding of Scrum and Kanban.	Experience
"Experience of working in an Agile team, pair/mob programming, collaborating closely with peers on achieving the Sprint goal."	Experience
Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.	EOE
"Establishes overall multi-cloud architecture vision & roadmap, ensuring specific technical capabilities and tools are appropriately designed and leveraged based on practical/hands on experience."	Responsibility
Develops/recommends training/onboarding requirements based on AWS and/or Azure certification.	Responsibility
"Anticipates areas where architecture standards may need to be developed that are in-line with customer, IT and industry standards."	Responsibility
Work duties will require high degree of proficiency in verbal and written communications.	Soft_Skills
Additional Training and Certifications:	Certification
Experience architecting voice & data networks preferred.	Experience
"Education, Experience and Certifications"	Certification
"High School Diploma or GED required; Bachelors Degree in Computer Science, Business Administration or job related field preferred."	Education
"At Atrium Health, formerly Carolinas HealthCare System, our patients, communities and teammates are at the center of everything we do."	About_Company
Our commitment to diversity and inclusion allows us to deliver care that is superior in quality and compassion across our network of more than 900 care locations.	About_Company
"As a leading, innovative health system, we promote an environment where differences are valued and integrated into our workforce."	About_Company
"Share techniques and approaches with other designers—from the software discipline to interaction design, and beyond."	Responsibility
"After conducting deep field research with wealth managers, an IDEO team utilized real client data to create clear and concise visualizations that give investors the right level of insight."	About_Company
"The Adobe Experience Platform is looking for innovative and passionate senior software engineers with a deep experience of building low latency, high performance distributed systems."	Position_Role
B.S. in Computer Science or equivalent engineering degree	Education
"Experience in Java, or Scala or Akka."	Experience
Experience with technical operations and CI/CD	Experience
Adobe is an equal opportunity employer.	EOE
"We welcome and encourage diversity in the workplace regardless of race, gender, religion, age , sexual orientation, gender identity, disability or veteran status."	EOE
Bachelor’s degree plus five years of experience or Master’s degree plus three years of experience in software development	Or_Edu_Exp
Experience with test management and defect tracking tools.	Experience
"Experience with but not limited to Red Hat, Windows Server, Oracle, JMeter, Jenkins, Swagger, Nexus, Apigee or GitHub/GitLab (or equivalent software packages), Java, Bash, Curl, XML, JSON, SQL, JavaScript, and AWS, C2S, and data center operations."	Experience
"Experience with traditional, Agile, and DevOps development practices and associated testing strategies, including test-driven development."	Experience
Job Location	Location_Travel
CACI is an Equal Opportunity Employer - Females/Minorities	EOE
"We’re looking for a Software QA Engineer to join our Pleasanton, California team."	Position_Role
"Execute testing tasks, isolate problems, report and track defects & third-party issues with a high degree of detail."	Responsibility
Comprehensive medical and dental benefits.	Benefits
"401(K) and an Employee Share Plan, both with company match."	Benefits
We’re looking for talented Senior Software Engineering Development Lead who is interested in building our eCommerce platform that provides for our existing and future businesses.	Position_Role
"Experience in communicating with other technical teams including test, and product management to collect requirements, review test cases and translate the product requirements to technical requirements."	Experience
Bachelors / Master’s Degree in Computer Science or related field in a reputed institution.	Education
"Samsung Electronics America provides Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability or any other characteristic protected by law."	EOE
If you are looking for a job that makes use of your critical thinking and creativity when it comes to system administration then this is it.	Soft_Skills
"Ideally you are detail-oriented, self-motivated, and work well in a fast moving, dynamic work environment."	Soft_Skills
Education	Education
B.S. Degree:	Education
Information Systems or related field and/or 5+ years' experience as a Systems Administrator.	Or_Edu_Exp
"A Bachelors’ Degree in Computer Science, Information or Business Technology, or related field from an accredited college or university."	Education
Equivalent career experience will be considered in lieu of education.	Or_Edu_Exp
Experience must also include:	Experience
"With its software, hardware, and portfolio of services, NCR enables nearly 700 million transactions daily across retail, financial, travel, hospitality, telecom and technology, and small business."	About_Company
Location:	Location_Travel
"NCR's Digital Insight™ solutions are a leading Software-as-a-Service (""SaaS"") platform for financial institutions in the United States."	About_Company
We are looking for talented software engineers to join our expanding mobile banking team.	Position_Role
Bachelor's degree or foreign equivalent in Computer Science or Information Technology	Education
Champion of Agile Scrum methodologies	Skill_Knowledge
Experience continuous integration systems like Jenkins or GitLab CI	Experience
Experience with tools or languages like:	Experience
"NCR is committed to being a globally inclusive company where all people are treated fairly, recognized for their individuality, promoted based on performance and encouraged to strive to reach their full potential."	About_Company
"NCR does not discriminate in employment based on sex, age, race, color, creed, religion, national origin, disability, sexual orientation, veteran status, military service, genetic information, or any other characteristic or conduct protected by law."	EOE
"Review product design requirements and software requirements to ensure that requirements stated are correct,unambiguous, and verifiable."	Responsibility
"QUALIFICATIONS, EDUCATION and/or EXPERIENCE"	Or_Edu_Exp
"Bachelor's Degree in Electrical Engineering, Computer Engineering or equivalent technical Degree; or equivalent combination of education and/or experience"	Or_Edu_Exp
Experience as SQA for a commercial product	Experience
"Experience with ISO 13485 and IEC 62304, and familiarity with FDA GMP."	Experience
"Experience with software development for robotics, electromechanical systems, motion control"	Experience
"Experience with EMC testing, Cloud computing"	Experience
"Experience with microcontroller, FPGA testing."	Experience
"We are looking for a Data Engineer with the Software Engineering skill to build data pipelines for efficient and reliable data movement across systems, and also to build the next generation of data tools to enable us to take full advantage of this data."	Position_Role
"Bachelor's degree or higher in computer science, Engineering or similar"	Education
Experience building and shipping highly scalable clickstream data pipelines and analytics systems on distributed data systems (Hadoop/AWS/Azure/GCP)	Experience
Experience in streaming technologies like AWS Kinesis or Kafka.	Experience
"Experience building batch, real-time and streaming analytics pipelines with data from event data streams, NoSQL and APIs."	Experience
"Experience with batch & stream processing technologies such Spark, KStreams, Samza etc."	Experience
"Experience with enterprise search technology (ElasticSearch, Solr, Lucene, etc.)"	Experience
"Experience in Machine Learning - Weka, MLlib, TensorFlow, etc"	Experience
"Experience in Business Intelligence tools and technologies - Tableau, Superset, Metabase"	Experience
"New technologies are transforming every aspect of reaching consumers, from the rise of digital marketing and online grocery platforms, to the creation of supply chain tools that enable speedy at-home delivery."	About_Company
"We’re looking for the greatest minds in data & analytics, software development, machine learning optimization, and next-generation supply chain."	Position_Role
"Given PepsiCo’s incredible reach – our foods and beverages are enjoyed more than one billion times a day in more than 200 countries and territories, and our value chain involves diverse partners ranging from farmers and food scientists to retailers and logistics specialists –"	About_Company
the challenges we’re addressing are complex and the solutions will be deeply impactful.	About_Company
We're looking for a Front End Engineer who can architect and build modern web user interfaces.	Position_Role
Experience with react/redux or another front end web framework	Experience
Experience with ES6/7 and transpilers like babel	Experience
Relocation Eligible: Not Applicable	Benefits
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status."	EOE
PepsiCo is an Equal Opportunity Employer:	EOE
Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity	EOE
Experience in microservices-based architecture	Experience
"Experience working with Maven, Git, Jenkins."	Experience
"Experience with container environment (Docker, DockerSwarm, Kubernetes)"	Experience
Experience in building and maintaining CI\CD pipeline in different environments	Experience
"Bachelor’s degree in Computer Science, Computer Engineering or related technical field"	Education
"Experience with working in an Agile environment (SCRUM, RUP, XP)"	Experience
"We are looking for passionate, hard-working, and a talented Software Engineer (SDE) who has experience building innovative, mission critical, high volume applications that customers love."	Position_Role
Will work in an Agile/Scrum environment to deliver high quality software against aggressive schedules.	Responsibility
"Master's degree in Computer Science, Computer Engineering or related technical field"	Education
Experience building complex software systems that have been successfully delivered to customers	Experience
Amazon is an Equal Opportunity Employer –	EOE
Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.	EOE
"We are seeking a creative, and organized test engineer to develop automated solutions to support and enhance our quality initiatives."	Position_Role
"Experience with FPGAs,"	Experience
Education & Experience	Or_Edu_Exp
"The UserTesting Engineering team is looking for an experienced Software Engineer, Front End , who enjoys working across the entire front end tech stack, has solid experience with multiple JavaScript frameworks, is committed to people over process, understands the value of user testing throughout the product cycle, and has a strong belief in keeping things simple."	Position_Role
"Collaborate with engineers who are both remote and co-located in our Mountain View, San Francisco, and Atlanta offices"	Responsibility
Experience with high discipline agile development processes such as Lean/Scrum/Kanban/XP	Experience
Experience with client-side performance optimization; security	Experience
Experience in the field of Usability	Experience
Experience with SaaS product development	Experience
Experience with rapid-prototyping and validating assumptions using qualitative and quantitative methods	Experience
Experience using UserTesting is a big plus	Experience
"We value diversity, and are proud to be an inclusive, equal opportunity workplace."	EOE
"Behind the company’s success are 2 300 employees worldwide, supporting customers in more than 50 countries."	About_Company
"LOCATION: BROOMFIELD, CO"	Location_Travel
Bachelor’s degree or comparable work experience in testing software; Technical Writing skills; SDLC knowledge; 10% travel capability;	Or_Edu_Exp
Experience working with both new development and fielded products	Experience
Experience working in an agile software test environment	Experience
Experience creating software processes for a software product	Experience
Experience working in continuous integration and continuous delivery requirements	Experience
Experience developing test plans from requirements and estimating	Experience
Experience creating an automated test capability for a software product	Experience
Experience working in different test environments –	Experience
"Swisslog offers challenging work in a globally networked environment as well as competitive base salary, comprehensive benefits including health/dental and above-market 401K!"	Benefits
"Swisslog is an EEO Employer, Females/Minority/Veterans/Disabled/Sexual Orientation/Gender Identity"	EOE
"Along with district administrators, teachers, principals, and parents, we are dedicated to helping children realize their potential."	About_Company
Adheres to general Scrum principles as agreed upon by the team	Responsibility
Works with other Scrum teams as needed to provide support or seek expertise	Responsibility
Meets Scrum targets as agreed upon in each sprint	Responsibility
"Bachelor’s degree in a relevant field from an accredited institution, or equivalent work experience"	Or_Edu_Exp
Experience with Service Oriented Architectures (SOA)	Experience
"We are currently seeking a talented Data Engineer - Mid Level for our Plano, TX facility."	Position_Role
We embrace a robust veteran workforce and encourage veterans and veteran spouses to apply.	EOE
"We are over 3,000 employees strong, a passionately supportive and collaborative team built on Agile principles."	About_Company
Bachelor's degree or 4 additional years of related experience beyond the minimum required may be substituted in lieu of a degree	Or_Edu_Exp
Experience with Agile Development Methodologies	Experience
"At USAA our employees enjoy one of the best benefits package in the business, including a flexible business casual or casual dress environment, comprehensive medical, dental and vision plans, along with wellness and wealth building programs."	Benefits
Relocation assistance is not available for this position.	Benefits
"You will be working in an Agile Scrum team and reporting to the software development lead located in Dallas, TX."	Responsibility
Experience building User Interfaces and prototypes from wireframes and designs	Experience
Experience with Java based back-end development (nice to have)	Experience
Experience with Git and Github	Experience
EDUCATION:	Education
Bachelor degree in Computer/Electrical Engineering and/or Computer Science.	Education
Master’s degree preferred.	Education
Experience with Java based back-end development	Experience
"Omnitracs LLC, is an Equal Opportunity Employer and does not unlawfully discriminate on the basis of any status or condition protected by applicable federal, state, or local municipal law."	Education
Minimum a bachelor or higher degree in electronics/computer engineering or its equivalent to undertake the duties	Education
"Experience with automation/configuration management using DevOp tools either Puppet, Chef or an equivalent"	Experience
"This position is located at Deerfield, IL."	Location_Travel
"BigMachines will create an end-to-end smarter selling cloud solution so sales personnel are more productive, customers are more satisfied, and companies grow revenue faster."	About_Company
"To support our rapid growth, we are seeking talented, motivated engineers to join our office in Deerfield, IL."	Location_Travel
"A minimum of a Bachelor’s degree in Computer Science or related software engineering discipline, or equivalent"	Education
Experience testing web applications	Experience
"Experience using QA tools and techniques, bug tracking systems, test design and execution"	Experience
Experience with manual and automated testing	Experience
"Experience with Agile, ALM methodologies and CI"	Experience
BS or MS degree or equivalent experience relevant to functional area.	Or_Edu_Exp
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law."	EOE
"Additionally, employee appreciation lunches, bonus opportunities, and great benefits that include medical, dental, vision, 401K match, flexible work schedules, are just a few of the reasons people come to work at Raytheon!"	Benefits
Raytheon is seeking a Software Architect for the Mission Management Command and Control (M2C2) system.	Position_Role
"M2C2 software engineers are developing a next generation, cutting-edge, extensible framework for Mission Management, Command & Telemetry, and Flight Dynamics."	About_Company
Active TS/SCI level clearance	Authorization_Clearance
"Experience in Java, C++ and Agile SW Development"	Experience
Experience managing personal and team resources to meet assigned deadlines	Experience
Experience with CONOPS / OPSCON development	Experience
Experience with requirements development and maintenance	Experience
"Experience in software interface definition, documentation, and implementation"	Experience
"Experience with the Microsoft Office suite of tools (including Word, Excel, Visio, and PowerPoint)"	Experience
Experience documenting software architecture using UML	Experience
Occasional travel is required	Location_Travel
US Citizenship required	Authorization_Clearance
Experience developing and reviewing DODAF architecture views	Experience
"Experience with development of software solutions for real-time system monitoring, reporting, and fault analysis"	Experience
Experience in development of satellite data handling and processing software	Experience
Experience with system availability and system latency analyses and design considerations	Experience
Experience with IBM Rational DOORS and IBM Rational Rhapsody tools	Experience
Experience with engineering cost estimation	Experience
Raytheon certified for creation of Technical Description and Basis of Estimates (TDBOEs) or equivalent	Certification
Required Education (including Major):	Education
"Raytheon is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, creed, religion, national origin, sex, sexual orientation, gender identity and expression, age, disability, or Vietnam era, or other eligible veteran status, or any other protected factor."	EOE
Raytheon is an Equal Opportunity/Affirmative Action employer.	EOE
"All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."	EOE
"Experience in Java, Python, JS, or other modern programming languages/technologies."	Experience
"Experience developing web applications using JavaScript, HTML, CSS"	Experience
"Experience in or real passion for distributed systems such as Cassandra, Kafka"	Experience
Past experience working in an Agile/Scrum environment.	Experience
"Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices."	About_Company
"Medical, Dental and Vision"	Benefits
Employer Matching 401(k)	Benefits
"Note: The only work site locations that can be considered are San Francisco, CA; Charlotte, NC; and Chandler, AZ."	Location_Travel
A BS/BA degree or higher in information technology	Education
"Knowledge and understanding of online authentication, authorization, fraud, or security"	Skill_Knowledge
Experience leading projects that require integration of multiple technology systems to deliver new online functionality and user experience	Experience
Experience supporting or directing offshore teams	Experience
"Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation."	EOE
"On top of this platform, we are developing innovative products with state-of-the-art user experiences."	About_Company
We’re looking for top engineers to help us build this from the ground up in our new Bellevue office.	Location_Travel
"RMS is looking for a Software Development Engineer who is excited and passionate about tackling complex, leading-edge software engineering challenges, processing large amounts of data at runtime within the context of a highly analytical, model-based computation framework, solving incredibly challenging business and science real-world problems that will have a real impact."	Position_Role
"Experience in Java, C#, or Scala, and software development in general"	Experience
"Experience with relational and big data storage such as PostgreSQL, SQL Server, Apache Spark, Kudu, Snowflake, Kubernetes, and similar technologies"	Experience
"Experience in performance tuning, bottleneck analysis, and resource usage monitoring"	Experience
"Experience working on and/or with cloud and open source technologies such as Spark, Docker, and Kubernetes"	Experience
Experience with data access and computing in highly distributed cloud systems	Experience
Bachelors in Computer Science and 3 years or more years' experience or Master’s degree in Computer Science.	Or_Edu_Exp
Master's degree in Computer Science preferred	Education
"We are one of the most exciting companies you’ve probably ‘never’ heard of unless you’re one of our hundreds of clients in the (re)insurance, banking or hedge fund sector."	About_Company
"We are evolving our vision by delivering future solutions in the cloud, our cutting-edge risk management platform for the global risk market."	About_Company
RMS is proud to be an equal opportunity workplace and is an affirmative action employer.	EOE
"We are committed to equal employment opportunity without regard to race, color, creed, gender, religion, marital status, registered domestic partner status, age, national origin or ancestry, physical or mental disability, genetic characteristics, sexual orientation, or any other classification protected by applicable local, state, or federal law."	EOE
Arista Networks is looking for world-class Software Test Engineers to help us in building the highest quality networking products you can buy.	Position_Role
Experience with IXIA	Experience
MS degree preferred	Education
CCIE certification a plus.	Certification
Experience in developing analysis of alternatives	Experience
"We are seeking a dynamic enterprise architect with federal government experience in technical planning, architecture, design, system engineering, and implementation, who has a proven track record of leading IT professionals, including contractor teams.."	Position_Role
